run,seed,use_dc,use_dy,evalA_before_loss,evalB_onA_loss,evalB_onB_loss,evalA_before_acc,evalB_onA_acc
lora_multi_s42,42,False,False,3.7953197116851807,3.7953197116851807,3.5639110927581785,0.3215752776245709,0.3215752776245709
lora_multi_s43,43,False,False,3.79373377609253,3.79373377609253,3.562595029830933,0.3227936152522699,0.3227936152522699
lora_multi_s44,44,False,False,3.7905099277496337,3.7905099277496337,3.563760650634765,0.3229170954172394,0.3229170954172394
hybrid_multi_s42,42,True,True,3.7938929786682127,3.7938929786682127,3.5651809959411622,0.3222009104604164,0.3222009104604164
hybrid_multi_s43,43,True,True,3.801710599899292,3.801710599899292,3.564625217437744,0.321534117569581,0.321534117569581
hybrid_multi_s44,44,True,True,3.798270902633667,3.798270902633667,3.5631228923797607,0.3205133482058332,0.3205133482058332
