run,seed,use_dc,use_dy,evalA_before_loss,evalB_onA_loss,evalB_onB_loss,evalA_before_acc,evalB_onA_acc
lora_multi_s42,42,False,False,3.7953197116851807,3.7953197116851807,3.5639110927581785,0.3215752776245709,0.3215752776245709
lora_multi_s43,43,False,False,3.7937337760925294,3.7937337760925294,3.562595029830933,0.32279361525226996,0.32279361525226996
lora_multi_s44,44,False,False,3.7905099277496337,3.7905099277496337,3.5637606506347654,0.32291709541723945,0.32291709541723945
